position,name,left,width,top,height,light,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T04A2,cloth,70,290,330,290,150.5255682,215.0,475.0,0.24438264960463477,0.3620810480640829,0.24553623661957905,0.2748403156143634,0.32880027933352124,0.2801421712141812,0.3109817549485502,0.3720374416909898,0.31698080336046003,0.0,128.0,128.0
T04A3,cloth,70,290,620,290,166.796875,215.0,765.0,0.2684945628376354,0.3822793300979764,0.2682903537643566,0.2957985131174358,0.34982458658399196,0.3059032206759953,0.3108673998635238,0.3676457278083847,0.3214868723280915,0.0,128.0,128.0
T04A4,cloth,70,290,907,290,172.1778409,215.0,1052.0,0.26409235899130884,0.3775594340049671,0.26547183087784965,0.2921539506204845,0.3455319900107066,0.3011027214170419,0.31120310931649725,0.3680615286265077,0.32073536205699493,0.0,128.0,128.0
T04B1,cloth,355,290,45,290,126.1818182,500.0,190.0,0.23738378416846734,0.3361056016872647,0.23556004932965313,0.2601745167257145,0.3075970739164106,0.2702021766828526,0.3104805029353804,0.3670724381961712,0.32244705886844843,0.0,128.0,128.0
T04B2,cloth,355,290,330,290,151.068842,500.0,475.0,0.2557297984218166,0.36427883038484854,0.25411969426328657,0.281213943249248,0.33301647749033236,0.29135332304057365,0.31053333850206294,0.36773681040279127,0.32172985109514585,0.0,128.0,128.0
T04B3,cloth,362,290,620,290,166.0771567,507.0,765.0,0.2629666223035088,0.3785907289854224,0.2664125529483133,0.2927075987825244,0.3463883389302057,0.30017403916485375,0.311633083126507,0.36878463855696186,0.31958227831653113,0.0,128.0,128.0
T04B4,cloth,357,290,910,290,170.9616717,502.0,1055.0,0.263153130919541,0.37435675610143415,0.26435326498975625,0.2903779179216176,0.34293591042476185,0.29980680930390413,0.31119011433808397,0.367515084960845,0.32129480070107097,0.0,128.0,128.0
T04B5,cloth,363,290,1212,290,172.6952425,508.0,1357.0,0.2522514147957413,0.37264821285558897,0.2626457353065268,0.28709562374196085,0.3405640653128968,0.28921020587971985,0.3131258047931068,0.37144208485239605,0.31543211035449714,0.0,128.0,128.0
T04C1,cloth,650,290,44,290,126.4802697,795.0,189.0,0.24086585297816968,0.3341028114021894,0.23106613455603098,0.258233118667875,0.3054603584669815,0.27318559947069443,0.3085668239135448,0.364999397172114,0.3264337789143412,0.0,128.0,128.0
T04C2,cloth,652,290,330,290,150.3963068,797.0,475.0,0.2560985864706378,0.36568447588546743,0.25540870592022125,0.2823147727864783,0.3343224830871579,0.29189624715638324,0.3107367772844258,0.3679803573254814,0.3212828653900928,0.0,128.0,128.0
T04C3,cloth,652,290,620,290,166.325132,797.0,765.0,0.268551244238572,0.3802913413503982,0.2690914980430749,0.29542832038959516,0.34857734471477225,0.305735622132268,0.31106189060093675,0.3670234719699213,0.3219146374291419,0.0,128.0,128.0
T04C4,cloth,652,290,908,290,173.0590709,797.0,1053.0,0.2673571761726249,0.38236568602037124,0.27253440163030124,0.2973746494292251,0.35070684729671786,0.3049147043970879,0.31204179940989535,0.3680044546698481,0.31995374592025655,0.0,128.0,128.0
T04C5,cloth,657,290,1209,290,175.215493,802.0,1354.0,0.26082260992833056,0.38000109868162923,0.26970966388638473,0.29418496755302354,0.34794342997290423,0.298368426212267,0.3127974067830723,0.36995704949851155,0.3172455437184162,0.0,128.0,128.0
T04D1,cloth,944,290,48,290,124.137324,1089.0,193.0,0.24802178856260088,0.3497453233277242,0.24797180098653113,0.27209055651895203,0.32075899204106745,0.2821772291415443,0.3109511199573267,0.36657048700110223,0.32247839304157105,0.0,128.0,128.0
