position,ecotype,status,outlier
T12_B3,cloth,control,no
T12_B4,cloth,control,no
T12_B5,cloth,control,no
T12_C1,cloth,control,no
T12_C2,cloth,control,no
T12_C3,cloth,control,no
T12_C4,cloth,control,no
T12_C5,cloth,control,no
T12_D1,cloth,control,no
T12_D2,cloth,control,no
T12_D3,cloth,control,no
T12_D4,cloth,control,no
T12_D5,cloth,control,no
T13_A1,cloth,control,no
T13_A2,cloth,control,no
T13_A3,cloth,control,no
T13_A4,cloth,control,no
T13_A5,cloth,control,no
T13_B1,cloth,control,no
T13_B2,cloth,control,no
T13_B3,cloth,control,no
T13_B4,cloth,control,no
T13_B5,cloth,control,no
T13_C1,cloth,control,no
T13_C2,cloth,control,no
T13_C3,cloth,control,no
T13_C4,cloth,control,no
T13_C5,cloth,control,no
T13_D1,cloth,control,no
T13_D2,cloth,control,no
T13_D3,cloth,control,no
T13_D4,cloth,control,no
T13_D5,cloth,control,no
T14_A1,cloth,control,no
T14_A2,cloth,control,no
T14_A3,cloth,control,no
T14_A4,cloth,control,no
T14_A5,cloth,control,no
T14_B1,cloth,control,no
T14_B2,cloth,control,no
T14_B3,cloth,control,no
T14_B4,cloth,control,no
T14_B5,cloth,control,no
T14_C1,cloth,control,no
T14_C2,cloth,control,no
T14_C3,cloth,control,no
T14_C4,cloth,control,no
T14_C5,cloth,control,no
T14_D1,cloth,control,no
T14_D2,cloth,control,no
T14_D3,cloth,control,no
T14_D4,cloth,control,no
T14_D5,cloth,control,no
T15_A1,cloth,control,no
T15_A2,cloth,control,no
T15_A3,cloth,control,no
T15_A4,cloth,control,no
T15_A5,cloth,control,no
T15_B1,cloth,control,no
T15_B2,cloth,control,no
T15_B3,cloth,control,no
T15_B4,cloth,control,no
T15_B5,cloth,control,no
T15_C1,cloth,control,no
T15_C2,cloth,control,no
T15_C3,cloth,control,no
T15_C4,cloth,control,no
T15_C5,cloth,control,no
T15_D1,cloth,control,no
T15_D2,cloth,control,no
T15_D3,cloth,control,no
T15_D4,cloth,control,no
T15_D5,cloth,control,no
T16_A1,cloth,control,no
T16_A2,cloth,control,no
T16_A3,cloth,control,no
T16_A4,cloth,control,no
T16_A5,cloth,control,no
T16_B1,cloth,control,no
T16_B2,cloth,control,no
T16_B3,cloth,control,no
T16_B4,cloth,control,no
T16_B5,cloth,control,no
T16_C1,cloth,control,no
T16_C2,cloth,control,no
T16_C3,cloth,control,no
T16_C4,cloth,control,no
T16_C5,cloth,control,no
T16_D1,cloth,control,no
T16_D2,cloth,control,no
T16_D3,cloth,control,no
T16_D4,cloth,control,no
T16_D5,cloth,control,no
T17_A1,cloth,control,no
T17_A2,cloth,control,no
T17_A3,cloth,control,no
T17_A4,cloth,control,no
T17_A5,cloth,control,no
T17_B1,cloth,control,no
T17_B2,cloth,control,no
T17_B3,cloth,control,no
T17_B4,cloth,control,no
T17_B5,cloth,control,no
T17_C1,cloth,control,no
T17_C2,cloth,control,no
T17_C3,cloth,control,no
T17_C4,cloth,control,no
T17_C5,cloth,control,no
T17_D1,cloth,control,no
T17_D2,cloth,control,no
T17_D3,cloth,control,no
T17_D4,cloth,control,no
T17_D5,cloth,control,no
T18_A1,cloth,control,no
T18_A2,cloth,control,no
T18_A3,cloth,control,no
T18_A4,cloth,control,no
T18_A5,cloth,control,no
T18_B1,cloth,control,no
T18_B2,cloth,control,no
T18_B3,cloth,control,no
T18_B4,cloth,control,no
T18_B5,cloth,control,no
T18_C1,cloth,control,no
T18_C2,cloth,control,no
T18_C3,cloth,control,no
T18_C4,cloth,control,no
T18_C5,cloth,control,no
T18_D1,cloth,control,no
T18_D2,cloth,control,no
T18_D3,cloth,control,no
T18_D4,cloth,control,no
T18_D5,cloth,control,no
